directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,number of files,filenames
255_09,1,2263890.4274867992,4527796.8549735984,4527822.3986284053,237.39099067132909,0.0005900569311721196,449214.51070000033,0.025116922668662358,282.18009018349522,0.99999994530496017,0.99999999999999922,3,92.29192332032041,1.061488834463859,0.8242515255867867,36.661967718884824,0.26700404748757967,0.16424529749243066,122.98184803177756,15.977887671514546,0.011503176920782683,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0025_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
258_09,1,2859108.5841654814,5718233.1683309628,5718258.7119857697,314.85482220886473,1.3387010823881251e-10,592718.03580000007,0.028979219304081875,495.97029245699048,0.99997199428237327,1.0,3,92.48974906594637,3.027766231900744,0.4856316436872329,69.41506175753565,0.22208667753016847,0.29047429312277645,108.31517719345027,2.609194105539801,0.2238940631899907,4,"P0029_orientationJ_ImageJ.txt, P0032_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
261_09,1,4139668.9617564026,8279353.9235128053,8279379.4671676122,204.70515663368255,0.040020634825059596,802683.2011000003,0.016770436957135159,226.13719170954769,0.99999999789084149,0.99999999995473743,3,2.5229614459402407,0.14013327169551354,0.6360273309230278,86.02708386927117,2.094764721525882,0.20489452924949766,117.23092992366858,2.262850728828189,0.15907813982747457,4,"P0035_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
264_09,1,2665648.5610175482,5331313.1220350964,5331338.6656899033,265.84679687565023,4.5346406395275053e-06,527827.87420000008,0.024529153618138674,317.16947001965656,0.99999970419255024,1.0,3,109.71664693304291,1.1850305739097458,0.7231441554538558,164.55544749202818,0.9492764579482503,0.21970616083011796,153.5185294019971,4.714940837135117,0.05714968371602623,4,"P0037_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt"
267_09,1,1743248.894880414,3486513.789760828,3486539.3334156349,234.483605196658,0.00091514630603317854,346772.78600000002,0.028456556674233177,278.24758882012651,0.9999999630314792,0.99999999999999867,3,88.86551563922205,1.7238608781591034,0.5806652026526091,131.20059778525862,0.3150837063769182,0.40933163715126825,118.7737761777388,41.04477997299483,0.010003160196122669,4,"P0041_orientationJ_ImageJ.txt, P0043_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
270_09,1,1971398.222124272,3942812.4442485441,3942837.987903351,351.01785124891245,1.6491087112913553e-14,440197.52579999983,0.037823145809410166,635.69894393301593,0.99968431001748681,1.0,3,98.8867966383798,3.499560353921258,0.8201899297888676,108.18671196564405,0.867199043653717,0.168585265806255,131.9817596443088,14.550839635678091,0.011224804404877414,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt"
273_09,1,3105753.507570846,6211523.015141692,6211548.5587964989,225.3524655560696,0.0033613505497825259,656144.32700000016,0.02681408364999174,472.2648521840797,0.99997751949919134,1.0,3,86.02824850564113,2.1797815461481718,0.8498588999385968,10.297062897642126,0.3134425952568577,0.11741698216711838,83.1300707099439,7.232971951517617,0.03272411789428474,4,"P0049_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
276_09,1,838637.52656238643,1677291.0531247729,1677316.59677958,261.25854523984202,1.0621664196135124e-05,173927.05520000003,0.042366501812504516,315.06262611579427,0.99999958920254894,1.0,3,86.97530792228397,3.0218219357602303,0.39731639999060403,79.07566333997335,0.33665332084299204,0.3439250156780467,98.91276268189453,2.849648497518743,0.2587585843313493,4,"P0056_orientationJ_ImageJ.txt, P0054_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
279_09,1,1985557.8777831558,3971131.7555663115,3971157.2992211184,271.93105623003294,1.4145695662352006e-06,391455.59990000009,0.028016259292212659,305.40939687439209,0.99999984980522993,1.0,3,88.04615197504829,1.1076925971078189,0.8416275578781766,174.51106436073965,1.0621137536153415,0.1048070820453642,27.028085824779843,2.8880539113081722,0.05356536007645928,4,"P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
282_09,1,1853868.6076686692,3707753.2153373384,3707778.7589921453,237.03453323794972,0.00062306353330750556,373133.2664000002,0.028093957650044177,292.60373159112117,0.99999991688328793,0.99999999999999989,3,80.27569865309408,0.9794120422583429,0.9182578651872987,67.24934577988812,6.666738608096203,0.051454322643910845,110.31144034743816,5.33961362709006,0.030287812168790423,4,"P0064_orientationJ_ImageJ.txt, P0061_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt"
