directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,number of files,filenames
387_09,1,3563404.8223301247,7126813.6446602494,7126820.0305739511,1007.9963495431758,2.3230641149191928e-116,728410.1222999997,0.039572172600227669,1164.1601490940809,0.98855588341077838,1.0,1,88.79617517536346,1.247235058973394,1.0,4,"P0204_orientationJ_ImageJ.txt, P0205_orientationJ_ImageJ.txt, P0206_orientationJ_ImageJ.txt, P0207_orientationJ_ImageJ.txt"
390_09,1,1307784.9020467079,2615573.8040934158,2615580.1900071176,7560.1976308118774,0.0,266945.71140000003,0.16835673174064925,7577.4350661128647,0.83122556102607636,1.0,1,106.07922883566638,1.228367895157995,1.0,4,"P0209_orientationJ_ImageJ.txt, P0210_orientationJ_ImageJ.txt, P0211_orientationJ_ImageJ.txt, P0208_orientationJ_ImageJ.txt"
393_09,1,1262576.6963588845,2525157.3927177689,2525163.7786314706,1232.1792992441151,1.9973399679414322e-157,273037.08309999999,0.066763166049478698,1337.5335484431434,0.78941325290694686,1.0,1,89.59687109147168,1.9917140009967138,1.0,4,"P0214_orientationJ_ImageJ.txt, P0215_orientationJ_ImageJ.txt, P0216_orientationJ_ImageJ.txt, P0217_orientationJ_ImageJ.txt"
396_09,1,2057803.2730079065,4115610.546015813,4115616.9319295147,7458.0689066341538,0.0,433302.07910000003,0.12985669575224004,7555.2526023504288,0.34126194916043795,1.0,1,91.51351647496469,1.6319942512295043,1.0,4,"P0221_orientationJ_ImageJ.txt, P0220_orientationJ_ImageJ.txt, P0219_orientationJ_ImageJ.txt, P0218_orientationJ_ImageJ.txt"
399_09,1,1804319.5069831437,3608643.0139662875,3608649.3998799892,5470.9530714763359,0.0,354086.24180000019,0.12630051831720604,5487.5439345577852,0.98840345074615188,1.0,1,93.57744829942324,0.6478254838043424,1.0,4,"P0224_orientationJ_ImageJ.txt, P0223_orientationJ_ImageJ.txt, P0222_orientationJ_ImageJ.txt, P0225_orientationJ_ImageJ.txt"
402_09,1,1479026.0733336534,2958056.1466673068,2958062.5325810085,1427.4896389307348,2.9568579010679914e-194,299850.66819999996,0.070192329445421767,1472.0750227261874,0.9914897277597241,1.0,1,88.73184793679377,1.1380699595470976,1.0,4,"P0227_orientationJ_ImageJ.txt, P0228_orientationJ_ImageJ.txt, P0226_orientationJ_ImageJ.txt, P0229_orientationJ_ImageJ.txt"
405_09,1,1815502.7530004324,3631009.5060008648,3631015.8919145665,5432.2441767513965,0.0,377808.53099999996,0.11299979070469086,5541.7081466301925,0.00026378349940636703,1.0,1,86.93239010222483,1.4790817814887636,1.0,4,"P0233_orientationJ_ImageJ.txt, P0230_orientationJ_ImageJ.txt, P0232_orientationJ_ImageJ.txt, P0231_orientationJ_ImageJ.txt"
408_09,1,1174633.7380040199,2349271.4760080399,2349277.8619217416,1285.1541461057366,2.4761921078825232e-167,255637.60590000002,0.071321164236772205,1409.6703983585257,0.82461551647733944,1.0,1,90.84454488290305,2.0819855677760826,1.0,4,"P0237_orientationJ_ImageJ.txt, P0235_orientationJ_ImageJ.txt, P0236_orientationJ_ImageJ.txt, P0234_orientationJ_ImageJ.txt"
411_09,1,2500402.2155993949,5000808.4311987897,5000814.8171124915,1056.4596112593881,4.1949340263328351e-125,503284.92350000015,0.047278532342275907,1133.1594412111406,0.99424078628756662,1.0,1,101.92740441798554,1.040191081105527,1.0,4,"P0239_orientationJ_ImageJ.txt, P0238_orientationJ_ImageJ.txt, P0241_orientationJ_ImageJ.txt, P0240_orientationJ_ImageJ.txt"
414_09,1,1451730.1278831633,2903464.2557663266,2903470.6416800283,4885.5690458747722,0.0,293475.78199999995,0.13300300978197954,4919.4529409577881,0.99922580897385926,1.0,1,84.64710653056805,1.0995140223516036,1.0,4,"P0242_orientationJ_ImageJ.txt, P0243_orientationJ_ImageJ.txt, P0244_orientationJ_ImageJ.txt, P0245_orientationJ_ImageJ.txt"
417_09,1,1294847.728528671,2589699.4570573419,2589705.8429710437,1565.3120971937199,1.0970334103965259e-220,265908.59289999987,0.077804788289223534,1619.1882159993725,0.98200002379923135,1.0,1,88.93886121085242,1.3074036805727491,1.0,4,"P0249_orientationJ_ImageJ.txt, P0247_orientationJ_ImageJ.txt, P0248_orientationJ_ImageJ.txt, P0246_orientationJ_ImageJ.txt"
423_09,1,1137417.2537040107,2274838.5074080215,2274844.8933217232,7623.4510256268723,0.0,230464.14810000014,0.17223641099908424,7655.9285966641992,0.00029188574314165106,1.0,1,86.8534684199823,1.1304731592235495,1.0,4,"P0252_orientationJ_ImageJ.txt, P0251_orientationJ_ImageJ.txt, P0253_orientationJ_ImageJ.txt, P0250_orientationJ_ImageJ.txt"
