directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,mu3,kappa3,prob3,number of files,filenames
207_09,1,739548.83038926776,1479119.6607785355,1479154.7833038953,268.72473764868425,1.2688519706057515e-06,158828.84330000001,0.046827592903372843,344.85363779563363,0.99999942035913481,1.0,4,94.56080359994971,2.2424964713607833,0.5275532766924598,85.86255110541845,5.247508178688938,0.3078859178113985,41.747113602460594,0.5238020279612416,0.13522970781388233,67.05724762709968,4.290093230131375,0.029331097682259406,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,1,686338.12175326282,1372698.2435065256,1372733.3660318854,186.98137107555851,0.15034535346657202,145697.3995,0.040854003596126363,241.76891491973407,0.99999999508852255,0.99999999999811728,4,113.11145475421601,2.3084789934928818,0.5421622249219514,85.98262083813297,3.173837842020736,0.381417179281117,10.991012599174491,1.0887610975762931,0.03964974068844492,79.22669720780156,15.121570888714302,0.036770855108486725,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,1,935097.85663941537,1870217.7132788307,1870252.8358041905,300.25644445884933,1.5577775288117939e-09,191805.69750000001,0.043181154713038232,348.60819838113298,0.99999966036242993,1.0,4,79.23124308539096,2.345778711479851,0.5686764505499199,121.70724153166734,0.6203711817260363,0.32491440033440805,88.86569647619636,13.326109008004442,0.055506686074453734,107.39827854177581,6.555554799874474,0.05090246304121835,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,1,2119221.2512142435,4238464.5024284869,4238499.6249538464,316.69916523568634,3.2983614834962144e-11,461414.79649999976,0.034524820824852212,547.29570717539013,0.99994195707648303,1.0,4,96.21345781367418,2.8230687918561794,0.5969835593939917,110.87838186587354,4.04815252261305,0.2998445127859741,60.319712456492944,6.257635209254891,0.053459275085121126,7.324078075764408,0.5831242437047921,0.049712652734913015,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
219_09,1,1891794.9228390006,3783611.8456780012,3783646.9682033611,265.09895978045944,2.5699900662300623e-06,412274.24759999989,0.033611527190548988,463.52604669264343,0.99998516541821758,1.0,4,83.38876762598834,3.3583679635765673,0.4857888697856969,98.63171842867739,0.7133377448351746,0.18848322904913772,95.79378530370292,6.537862214178902,0.1751593130421268,111.93913020613034,5.407216821880121,0.15056858812303853,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
222_09,1,2027866.0511023414,4055754.1022046828,4055789.2247300427,249.25909431098771,4.7060082401955437e-05,440458.73060000018,0.033510629301415025,490.37645785240539,0.99997952574608184,1.0,4,97.11167438956721,5.004720771462183,0.5319307630901221,96.56921384275743,1.1143052234475843,0.4097149386996416,74.10561243792942,10.941994640252991,0.04459815591478288,13.324390791233652,1.7693560747052282,0.013756142295453343,4,"P0078_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
225_09,1,1412454.0571663936,2824930.1143327872,2824965.2368581472,360.42730195390538,4.2941412452566948e-16,288545.67290000006,0.038879833840165134,440.97443096969653,0.99998182078793152,1.0,4,101.0517587773612,2.7762222319158134,0.6882773622667361,153.73984077075073,1.0125642506355772,0.2442864731140147,48.9098209964639,2.889294709051268,0.06183967871529938,140.2947014486888,0.7121091904027903,0.005596485903949988,4,"P0080_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
228_09,1,1577914.217587431,3155850.4351748619,3155885.5577002219,317.27860880894855,2.8677166787660628e-11,320267.95419999992,0.034281235803798792,377.033284704192,0.99999744387972933,1.0,4,93.89949482401296,1.0600362515995572,0.5471778919922553,74.33549039951939,3.0483910849074807,0.31181068444226706,34.21951169373394,3.308977536967296,0.10177796221733089,106.48275892494765,12.356195678333496,0.03923346134814666,4,"P0086_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0084_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
231_09,1,1366030.1857964483,2732082.3715928965,2732117.4941182565,251.11605736067315,3.3987078429807603e-05,274205.22279999999,0.033038411549787268,297.07544504386846,0.99999990189408017,1.0,4,49.29696197766127,1.4441989676570046,0.3849370984210912,117.10083250505642,2.9425436433208234,0.35309326619518683,78.26492014632463,5.408185487798349,0.18153822131956343,98.29671524985164,11.449467234962329,0.08043141406415853,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt"
234_09,1,1583516.7979301955,3167055.5958603909,3167090.7183857509,210.07517843999648,0.01525777650200001,313031.07149999979,0.028014010218614622,248.5785900167493,0.99999998508205012,0.99999999999881584,4,107.34427490527011,0.6707584216482348,0.8040846563705655,118.06945887547752,10.793136397760785,0.07438459496297277,76.66333206753015,6.191638355737412,0.06771812880243011,56.20968831968074,8.434031344580902,0.053812619864031734,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
